Pclass,Sex,AgeMissing,SibSp,Parch,Embarked,FamSz,y_true,y_pred,Survival_Probability
3,0,1.0,0,0,1,0,0,0,0.1625874849332362
1,1,1.0,1,0,2,1,1,1,0.8353488414806454
2,1,1.0,1,0,1,1,1,1,0.7724838521457817
1,0,1.0,0,1,2,1,0,0,0.44958693050851095
1,0,0.0,0,0,1,0,1,0,0.25248669065020124
2,1,1.0,0,0,1,0,1,1,0.7356632140856205
3,0,1.0,0,0,2,0,0,0,0.2487743278882342
2,1,1.0,1,2,1,3,1,1,0.7919991998072635
3,0,1.0,5,2,1,7,0,0,0.1171411375149872
3,0,1.0,0,0,2,0,0,0,0.18498133600273725
1,1,1.0,0,0,1,0,1,1,0.760095807858969
1,0,1.0,1,0,1,1,0,0,0.39215276278724626
3,0,1.0,3,2,1,5,0,0,0.16806879131790958
1,0,0.0,0,0,2,0,0,0,0.2970804863414411
3,0,0.0,1,1,2,2,1,0,0.3327210249504804
2,1,1.0,0,0,1,0,1,1,0.7199645401693712
3,0,1.0,0,0,1,0,0,0,0.1780075472305214
3,1,1.0,4,2,1,6,1,0,0.1701815909935079
3,0,1.0,2,0,1,2,0,0,0.25264519601343444
2,0,1.0,0,0,1,0,0,0,0.20144383373866398
3,1,1.0,5,2,1,7,0,0,0.3351629914417653
2,0,1.0,0,0,1,0,0,0,0.2060820686486727
3,0,1.0,1,0,2,1,0,0,0.2753296090565847
3,0,1.0,0,0,1,0,1,0,0.16257579916451612
3,0,1.0,0,0,1,0,0,0,0.17538855068180098
3,0,0.0,0,0,1,0,0,0,0.15849764990434
3,0,0.0,0,0,1,0,0,0,0.15254087093215377
2,0,1.0,0,2,1,2,1,0,0.3612095047158389
3,1,1.0,0,0,1,0,1,1,0.5075706728251123
3,0,1.0,0,0,1,0,0,0,0.1625874849332362
3,0,1.0,0,0,1,0,1,0,0.1625874849332362
3,1,0.0,0,0,3,0,1,1,0.5639736509005422
1,0,1.0,0,0,1,0,0,0,0.30015904107455443
2,1,1.0,0,0,1,0,1,1,0.6939060300526124
3,1,1.0,3,0,1,3,1,0,0.3228025384419128
3,0,1.0,1,3,1,4,0,0,0.24058638003319152
3,0,0.0,0,0,1,0,0,0,0.1557657543157892
1,1,1.0,3,2,1,5,1,1,0.6843138644079052
3,0,1.0,0,0,1,0,0,0,0.16663914283757827
3,0,1.0,0,0,1,0,0,0,0.17538855068180098
3,0,1.0,0,0,1,0,0,0,0.1780075472305214
1,0,1.0,1,0,1,1,0,0,0.37771453935695753
3,0,1.0,1,2,1,3,0,0,0.32580850105116355
3,0,1.0,0,0,1,0,0,0,0.17538855068180098
3,0,0.0,0,0,1,0,0,0,0.1557657543157892
1,0,1.0,0,0,2,0,0,0,0.369256528272113
1,0,1.0,0,1,2,1,1,0,0.4100141259767352
2,1,1.0,0,1,1,1,1,1,0.8042676176132935
2,0,1.0,1,0,1,1,0,0,0.34904124245421436
3,1,1.0,0,0,1,0,0,1,0.5219907526401674
3,0,0.0,0,0,1,0,0,0,0.17807088522613346
1,0,1.0,0,1,1,1,0,0,0.40249903087408095
3,0,1.0,0,0,1,0,0,0,0.19199274577957343
3,0,1.0,2,0,1,2,0,0,0.25324826890520846
3,0,1.0,0,0,1,0,0,0,0.17538855068180098
3,1,1.0,0,0,1,0,1,1,0.5082862681086021
3,0,0.0,0,0,1,0,1,0,0.1557657543157892
3,0,1.0,0,0,1,0,0,0,0.19199274577957343
3,1,0.0,1,0,3,1,1,1,0.5554786118394932
1,0,1.0,0,0,1,0,0,0,0.29991092176606843
3,1,1.0,1,0,2,1,0,1,0.6250229450140654
3,0,1.0,0,0,1,0,0,0,0.16663914283757827
3,1,1.0,1,0,1,1,0,1,0.5327619672949386
3,1,1.0,0,0,2,0,0,1,0.5222982304636362
3,0,1.0,0,0,1,0,0,0,0.1625874849332362
3,0,1.0,0,0,3,0,0,0,0.21612215565247228
2,0,1.0,1,0,1,1,0,0,0.32696841900207774
1,0,1.0,0,1,2,1,0,0,0.3979176158083688
3,1,1.0,4,2,1,6,0,0,0.28720276368947767
2,0,1.0,2,0,1,2,0,0,0.3322611540154081
3,0,0.0,0,0,1,0,0,0,0.15849764990434
2,0,1.0,1,0,2,1,0,0,0.2898280328790208
2,1,1.0,0,0,1,0,1,1,0.7274991967333787
1,0,1.0,0,1,1,1,0,0,0.3872433438924156
3,0,1.0,1,0,2,1,1,0,0.2686913131634447
3,0,0.0,0,0,3,0,0,0,0.1919341635611168
3,0,1.0,0,0,1,0,1,0,0.17703929817368141
3,1,0.0,1,1,2,2,1,1,0.6236424989086824
3,0,1.0,0,0,1,0,0,0,0.18070448641286965
3,0,1.0,0,0,2,0,0,0,0.23334560905556131
3,0,1.0,0,0,1,0,0,0,0.17538855068180098
3,1,1.0,1,0,1,1,0,1,0.5704955972625707
2,1,1.0,1,0,1,1,1,1,0.7796010909290626
2,0,1.0,0,0,1,0,0,0,0.20856902166709232
2,0,1.0,0,0,2,0,0,0,0.2456142251948491
1,1,1.0,0,2,1,2,1,1,0.7826489453729036
1,0,1.0,1,0,1,1,0,0,0.36411148939308796
3,0,1.0,0,0,1,0,0,0,0.19223078682631653
1,0,1.0,0,0,2,0,0,0,0.33692557217177815
3,1,0.0,0,2,2,2,0,1,0.5791864319827794
3,1,1.0,0,0,1,0,1,1,0.5265928030733565
3,1,1.0,1,0,1,1,1,1,0.5704955972625707
3,0,1.0,0,0,3,0,0,0,0.21943865716773636
2,0,1.0,0,0,1,0,0,0,0.2010747446883353
2,0,1.0,1,1,1,2,0,0,0.3623660846597728
3,0,1.0,0,0,1,0,1,0,0.19199274577957343
3,1,1.0,2,2,1,4,0,0,0.41805358244733354
2,0,1.0,0,2,1,2,0,0,0.4263777378263986
2,0,1.0,0,0,1,0,0,0,0.22046309659991056
2,0,1.0,0,0,1,0,0,0,0.23099297611057396
1,1,1.0,1,0,1,1,1,1,0.7842595547306221
3,0,1.0,0,0,1,0,0,0,0.18726341016764686
3,0,1.0,0,2,1,2,0,0,0.31978634706363485
3,0,0.0,0,0,1,0,0,0,0.15849764990434
1,0,1.0,0,1,2,1,0,0,0.3979176158083688
3,1,1.0,0,0,3,0,1,1,0.5897194217488861
3,0,1.0,0,0,1,0,0,0,0.18726341016764686
3,0,0.0,0,0,1,0,0,0,0.15849764990434
3,0,0.0,8,2,1,10,0,0,0.13017784279280353
3,0,1.0,0,1,1,1,0,0,0.3098552174307204
2,1,1.0,0,0,1,0,1,1,0.7141581918756243
3,0,1.0,0,0,1,0,0,0,0.17703929817368141
3,0,1.0,0,0,1,0,0,0,0.18726341016764686
3,0,1.0,4,1,1,5,0,0,0.17664810522888932
3,0,1.0,0,2,1,2,1,0,0.35628508516793483
1,1,0.0,0,1,1,1,1,1,0.8084538302061748
3,1,1.0,1,4,1,5,0,0,0.36059217674182137
1,0,0.0,0,0,1,0,0,0,0.2783568069861319
3,0,1.0,0,0,1,0,0,0,0.17703929817368141
1,0,1.0,0,0,1,0,0,0,0.2867153608832682
3,0,1.0,4,1,3,5,0,0,0.1199173822306693
3,1,1.0,1,1,1,2,1,1,0.5041523244370503
3,0,1.0,0,0,1,0,0,0,0.19199274577957343
1,0,1.0,0,0,2,0,0,0,0.32979127459827134
3,0,1.0,1,1,1,2,0,0,0.3747183517159583
3,0,0.0,3,1,1,4,0,0,0.2034979049137964
1,1,1.0,0,0,2,0,0,1,0.7779564483686877
2,0,1.0,0,0,1,0,0,0,0.20144383373866398
3,0,1.0,0,0,1,0,0,0,0.18726341016764686
3,1,0.0,8,2,1,10,0,0,0.28823823745047034
2,0,0.0,0,0,2,0,0,0,0.2322198677449248
3,0,1.0,4,2,1,6,0,0,0.14819969728469065
2,0,1.0,2,1,1,3,1,0,0.3651311503741996
3,1,1.0,0,2,1,2,1,1,0.58698909756894
1,0,0.0,0,0,1,0,0,0,0.26909944044815154
3,1,0.0,1,0,3,1,1,1,0.6410327116879366
1,0,1.0,0,0,1,0,1,0,0.32211091148486565
3,0,1.0,1,1,3,2,0,0,0.3061456773511914
3,0,1.0,0,0,1,0,0,0,0.1625874849332362
2,1,1.0,0,0,1,0,1,1,0.6910357152074228
2,0,1.0,0,0,1,0,0,0,0.20043418175146605
3,1,1.0,1,0,1,1,1,1,0.5673804640945346
2,0,1.0,1,1,1,2,1,0,0.36828759274408107
1,1,1.0,0,0,2,0,1,1,0.7668192156101208
1,1,1.0,0,0,2,0,1,1,0.7782552858681012
3,0,0.0,0,0,3,0,0,0,0.18971165131536152
3,0,1.0,0,1,1,1,0,0,0.32855576498446104
3,1,0.0,0,0,3,0,1,1,0.5999031140873338
2,1,1.0,0,0,1,0,0,1,0.6910357152074228
3,0,1.0,0,0,1,0,0,0,0.18726341016764686
3,0,0.0,8,2,1,10,0,0,0.156168907113678
3,0,1.0,0,0,1,0,0,0,0.16663914283757827
3,0,1.0,0,0,2,0,0,0,0.18498133600273725
3,0,1.0,0,0,1,0,1,0,0.16257579916451612
3,1,1.0,0,1,1,1,0,1,0.5927366240946924
3,0,1.0,1,0,1,1,0,0,0.26606996735952854
3,0,1.0,0,0,2,0,1,0,0.18498133600273725
3,1,1.0,0,0,3,0,1,1,0.5897194217488861
1,0,1.0,0,0,2,0,1,0,0.3169563097360425
3,0,1.0,0,0,1,0,0,0,0.16663914283757827
2,1,1.0,0,0,1,0,1,1,0.6939060300526124
3,0,1.0,0,0,1,0,0,0,0.1780075472305214
2,0,1.0,0,0,1,0,0,0,0.23196872285690331
3,0,0.0,1,0,3,1,0,0,0.24893822057442605
1,1,1.0,1,0,2,1,1,1,0.8170234701022687
3,1,1.0,0,0,1,0,1,1,0.5070798002355056
2,0,1.0,1,0,1,1,0,0,0.2589125046491222
1,1,1.0,0,0,2,0,1,1,0.782992270204964
2,0,1.0,0,0,1,0,0,0,0.20534566831960013
3,0,1.0,0,0,1,0,1,0,0.16663914283757827
2,0,1.0,0,0,1,0,0,0,0.2060820686486727
3,0,1.0,0,0,1,0,0,0,0.1625874849332362
3,0,0.0,0,0,1,0,0,0,0.15516732011792875
1,0,1.0,1,0,1,1,1,0,0.3340979523930494
3,0,1.0,0,0,1,0,0,0,0.1625874849332362
2,0,1.0,0,0,1,0,1,0,0.20534566831960013
3,0,1.0,0,0,1,0,0,0,0.18726341016764686
2,0,1.0,0,0,1,0,0,0,0.20534566831960013
3,1,0.0,3,1,1,4,0,0,0.22946472334133652
1,1,1.0,1,0,1,1,1,1,0.8227104893869418
3,0,1.0,0,0,1,0,0,0,0.18726341016764686
2,0,1.0,0,0,1,0,0,0,0.22046309659991056
3,1,1.0,4,2,1,6,1,0,0.31178712956417776
2,0,1.0,0,0,1,0,0,0,0.20144383373866398
3,1,0.0,0,0,1,0,0,1,0.5497429382918517
2,0,1.0,1,0,1,1,0,0,0.28097144447971756
2,1,1.0,0,2,1,2,1,1,0.7636604902640519
2,0,1.0,0,0,1,0,0,0,0.20856902166709232
2,0,1.0,0,0,1,0,0,0,0.20144383373866398
3,1,0.0,1,0,2,1,0,1,0.5461666898923554
3,1,0.0,1,0,3,1,1,1,0.5554786118394932
2,0,1.0,0,0,1,0,0,0,0.2010747446883353
3,0,1.0,0,0,1,0,0,0,0.19223078682631653
3,0,1.0,0,0,2,0,0,0,0.23334560905556131
1,0,1.0,2,0,3,2,0,0,0.37634297621747587
3,1,1.0,0,0,1,0,0,1,0.5082862681086021
2,1,1.0,0,2,1,2,1,1,0.794738879687284
1,0,1.0,1,1,1,2,1,0,0.41207158866181465
2,0,1.0,1,0,1,1,0,0,0.3060839148899435
3,0,0.0,0,0,1,0,0,0,0.15516732011792875
3,1,1.0,1,1,1,2,0,1,0.6000290007899914
1,0,1.0,0,0,1,0,0,0,0.30238081044963444
3,0,1.0,1,0,1,1,0,0,0.26606996735952854
3,1,1.0,0,2,1,2,0,1,0.5763632345136375
3,1,1.0,0,2,2,2,1,1,0.6347242567128545
1,1,0.0,0,0,2,0,1,1,0.7747807050006521
1,1,1.0,0,0,1,0,1,1,0.760095807858969
1,1,1.0,0,0,2,0,1,1,0.7640319734019546
2,1,1.0,0,1,1,1,1,1,0.7845120319719815
3,0,0.0,0,0,3,0,0,0,0.16626666403939747
3,0,1.0,4,2,1,6,1,0,0.1251411375149872
1,0,1.0,1,1,1,2,0,0,0.4221445470993872
1,0,1.0,0,0,1,0,0,0,0.29991092176606843
3,1,0.0,0,0,3,0,0,1,0.5656133774365761
2,0,1.0,0,0,1,0,0,0,0.22046309659991056
3,0,1.0,4,1,1,5,0,0,0.12696623318399966
3,0,1.0,1,0,1,1,1,0,0.2539871734318715
1,1,1.0,0,1,1,1,1,1,0.7937806409025048
1,1,1.0,0,0,1,0,1,1,0.7513568357559391
1,0,0.0,0,0,1,0,0,0,0.2574641452307962
3,0,1.0,0,0,1,0,1,0,0.1625874849332362
2,1,1.0,0,1,1,1,1,1,0.7878017072053564
1,0,1.0,0,1,2,1,0,0,0.4650404291302376
3,1,0.0,0,0,3,0,1,1,0.5927963063317471
1,1,1.0,1,0,1,1,1,1,0.8121233290474683
3,1,1.0,0,0,1,0,0,0,0.48555483935885546
2,0,0.0,0,0,1,0,0,0,0.1881360143385831
3,0,1.0,4,1,3,5,0,0,0.1372742702255782
3,1,1.0,1,1,1,2,1,1,0.5041523244370503
3,0,1.0,0,0,3,0,0,0,0.19883679859000167
3,0,1.0,0,0,1,0,0,0,0.1780075472305214
3,0,1.0,0,0,1,0,0,0,0.17538855068180098
3,0,1.0,0,0,1,0,1,0,0.17538855068180098
1,0,0.0,0,0,1,0,0,0,0.26106680891787554
3,0,1.0,0,0,2,0,0,0,0.22400052578868365
3,0,1.0,0,0,1,0,1,0,0.17538855068180098
3,0,1.0,0,0,1,0,0,0,0.19199274577957343
2,0,1.0,0,0,1,0,1,0,0.2060820686486727
3,1,1.0,0,0,3,0,1,1,0.5508828170832568
1,1,1.0,0,0,1,0,1,1,0.7516904291917024
1,1,1.0,1,0,2,1,1,1,0.8405874882358739
2,0,1.0,0,0,2,0,0,0,0.2456142251948491
3,1,1.0,0,0,1,0,0,1,0.5075706728251123
3,0,1.0,0,0,1,0,0,0,0.16257579916451612
1,0,0.0,0,0,2,0,0,0,0.2996074681440147
3,0,1.0,0,0,2,0,0,0,0.23334560905556131
1,1,1.0,1,2,1,3,0,1,0.8072564141061388
1,0,0.0,0,0,1,0,1,0,0.25045876256421684
1,1,1.0,0,1,2,1,1,1,0.812368453192603
3,1,0.0,0,0,3,0,1,1,0.5656133774365761
3,0,0.0,2,0,3,2,1,0,0.21217921430491826
3,0,1.0,0,0,1,0,0,0,0.19223078682631653
2,1,0.0,0,0,3,0,1,1,0.735650844986622
3,0,0.0,0,0,1,0,0,0,0.16286595569887014
1,0,1.0,1,2,1,3,1,0,0.421257218592719
1,1,0.0,0,0,2,0,1,1,0.7356722599886371
1,1,1.0,1,0,2,1,1,1,0.8405874882358739
2,0,1.0,1,0,2,1,0,0,0.3652261565730012
1,1,1.0,0,0,2,0,1,1,0.7940268255503777
1,1,1.0,0,0,2,0,1,1,0.782992270204964
1,1,1.0,2,2,2,4,1,1,0.7705352069825581
2,1,1.0,1,1,1,2,0,1,0.8029611903045734
3,0,1.0,0,0,1,0,0,0,0.17538855068180098
2,0,1.0,1,1,1,2,0,0,0.42286525675334774
3,1,1.0,0,0,1,0,1,1,0.5082862681086021
2,1,1.0,1,0,1,1,1,1,0.7839645423519268
2,0,1.0,0,0,1,0,0,0,0.22046309659991056
1,1,1.0,0,2,1,2,1,1,0.7781609184252606
1,1,1.0,1,1,2,2,1,1,0.8450506947122615
3,0,1.0,0,0,1,0,0,0,0.18070448641286965
3,0,1.0,0,0,1,0,0,0,0.18070448641286965
2,1,1.0,0,0,3,0,1,1,0.7456479503966577
2,1,1.0,1,1,1,2,1,1,0.7700312799828599
3,0,0.0,8,2,1,10,0,0,0.1389683453647227
1,1,1.0,0,0,2,0,1,1,0.7741712001679255
3,0,1.0,0,0,1,0,0,0,0.17703929817368141
2,1,1.0,0,0,1,0,1,1,0.6910357152074228
3,1,1.0,1,1,1,2,1,1,0.5818876512856219
1,1,1.0,0,1,2,1,1,1,0.7994014660681148
3,1,0.0,2,0,3,2,1,1,0.5541514844364126
1,0,1.0,0,0,1,0,0,0,0.2867153608832682
1,0,1.0,0,1,1,1,0,0,0.40249903087408095
3,0,1.0,2,0,1,2,0,0,0.27335265423738214
1,1,0.0,1,0,1,1,1,1,0.7959882720269975
3,0,0.0,0,0,1,0,0,0,0.1704966385889019
1,0,1.0,1,0,1,1,0,0,0.3707041084175895
1,1,1.0,0,0,2,0,1,1,0.782992270204964
3,0,1.0,0,0,1,0,1,0,0.16663914283757827
1,0,1.0,0,0,1,0,0,0,0.296854087853776
2,0,1.0,1,1,1,2,1,0,0.37188073429515683
1,1,1.0,3,2,1,5,1,1,0.6401280658536718
2,0,1.0,0,0,1,0,0,0,0.2010747446883353
2,0,1.0,0,0,1,0,0,0,0.23099297611057396
2,0,1.0,0,0,1,0,0,0,0.20534566831960013
2,1,1.0,0,0,1,0,1,1,0.6831619743291316
2,1,1.0,0,0,1,0,1,1,0.6869604775792708
3,1,0.0,1,0,1,1,1,1,0.5784176714509421
3,0,1.0,1,1,1,2,1,0,0.3318848178452886
3,0,1.0,0,0,1,0,0,0,0.16257579916451612
3,0,1.0,0,0,1,0,0,0,0.17538855068180098
1,0,0.0,0,0,1,0,0,0,0.2574641452307962
3,0,1.0,1,1,2,2,0,0,0.39639652742725695
3,0,1.0,1,0,1,1,0,0,0.2539871734318715
3,0,0.0,0,0,2,0,0,0,0.2204727849024908
3,0,1.0,0,0,1,0,0,0,0.18070448641286965
1,1,1.0,0,1,1,1,1,1,0.79392041762857
2,1,1.0,0,0,1,0,0,1,0.6831619743291316
3,1,0.0,0,0,3,0,1,1,0.5836932535571346
3,1,0.0,0,0,3,0,1,1,0.5656133774365761
3,0,1.0,1,4,1,5,0,0,0.21623169654667895
2,0,1.0,1,0,2,1,0,0,0.3355969237874808
3,1,1.0,0,1,2,1,0,1,0.6437646283243216
3,0,1.0,0,0,1,0,0,0,0.19199274577957343
3,0,0.0,1,0,3,1,0,0,0.27377683706069333
3,0,1.0,0,0,1,0,0,0,0.19199274577957343
1,1,1.0,1,0,2,1,1,1,0.8170234701022687
3,1,0.0,0,0,2,0,1,1,0.5880216230877666
3,1,0.0,0,0,3,0,1,1,0.5639736509005422
1,1,1.0,0,0,2,0,1,1,0.775415518361948
1,0,1.0,1,0,2,1,1,0,0.3823885320309502
3,0,1.0,1,0,1,1,0,0,0.2939240459831149
3,0,1.0,0,0,1,0,0,0,0.19199274577957343
1,0,1.0,0,0,2,0,0,0,0.35281271093257216
3,1,1.0,3,1,1,4,0,0,0.3005182314524552
1,1,0.0,1,0,2,1,1,1,0.8402272302657954
3,1,1.0,0,0,1,0,1,1,0.5219907526401674
1,0,1.0,0,2,2,2,0,0,0.49742322787280385
3,0,1.0,0,0,2,0,0,0,0.20543169659431104
3,0,1.0,0,0,1,0,0,0,0.17703929817368141
1,1,1.0,0,0,2,0,1,1,0.782992270204964
3,1,1.0,0,2,2,2,1,1,0.599657936114873
3,0,1.0,0,0,1,0,0,0,0.18070448641286965
1,1,1.0,1,0,1,1,1,1,0.7840064214054479
3,0,0.0,0,0,1,0,0,0,0.16901763623038712
2,0,1.0,0,0,1,0,0,0,0.2060820686486727
3,0,1.0,5,2,1,7,0,0,0.141259634193208
2,1,1.0,0,0,1,0,1,1,0.7141581918756243
3,0,0.0,0,0,3,0,0,0,0.18981246481553937
2,1,1.0,0,0,2,0,1,1,0.7556903747610977
1,0,1.0,1,2,1,3,1,0,0.43704956137716877
3,0,1.0,0,0,1,0,1,0,0.16663914283757827
3,0,1.0,2,0,1,2,0,0,0.2603475682838114
1,1,1.0,1,0,2,1,1,1,0.826908284795088
3,1,1.0,0,2,1,2,1,1,0.5528133916691127
3,0,1.0,0,0,1,0,0,0,0.1780075472305214
3,1,1.0,0,0,1,0,0,1,0.507702847401052
2,0,1.0,0,0,1,0,0,0,0.2010747446883353
2,0,1.0,0,0,1,0,0,0,0.22046309659991056
2,1,1.0,0,0,1,0,1,1,0.7199645401693712
3,0,1.0,0,0,1,0,1,0,0.17703929817368141
3,0,1.0,0,0,1,0,0,0,0.18070448641286965
3,1,1.0,1,0,1,1,0,1,0.5622401363409025
3,0,1.0,1,0,1,1,0,0,0.26606996735952854
3,1,1.0,0,0,1,0,0,0,0.48555483935885546
2,0,1.0,1,0,1,1,0,0,0.2604521370050517
3,0,1.0,0,0,1,0,0,0,0.17538855068180098
2,0,1.0,1,1,1,2,1,0,0.36842231632687245
3,0,1.0,0,0,1,0,0,0,0.16663914283757827
3,1,0.0,3,1,1,4,0,0,0.3098447902317259
3,0,0.0,0,0,1,0,0,0,0.16901763623038712
3,0,0.0,0,0,3,0,0,0,0.18971165131536152
1,1,1.0,1,0,3,1,1,1,0.8282463000966794
2,0,0.0,0,0,1,0,0,0,0.1969543298408723
3,0,1.0,0,0,1,0,1,0,0.17703929817368141
3,1,0.0,0,0,1,0,0,1,0.5306214571676047
2,1,1.0,1,1,1,2,1,1,0.7885671566495656
2,1,1.0,0,2,1,2,1,1,0.7575365244337823
2,0,1.0,0,0,1,0,0,0,0.20534566831960013
3,1,1.0,0,2,1,2,0,1,0.5626541310524755
3,0,0.0,0,0,2,0,0,0,0.22112914443856377
3,0,1.0,0,0,3,0,0,0,0.22295750191617095
3,0,1.0,0,0,1,0,0,0,0.18726341016764686
3,1,1.0,1,1,1,2,0,1,0.5818876512856219
3,0,1.0,1,1,1,2,0,0,0.32276088687058807
3,0,0.0,0,0,1,0,0,0,0.16286595569887014
2,1,1.0,1,0,1,1,1,1,0.7724838521457817
2,1,1.0,0,0,1,0,1,1,0.6910357152074228
3,0,0.0,0,0,3,0,0,0,0.18981246481553937
3,0,1.0,0,0,1,0,1,0,0.19199274577957343
1,0,1.0,0,0,1,0,1,0,0.2681597400333885
3,1,0.0,1,0,1,1,1,1,0.5183680048881258
2,1,1.0,1,0,1,1,1,1,0.7796010909290626
3,0,1.0,0,0,1,0,0,0,0.17538855068180098
1,0,1.0,1,0,1,1,0,0,0.37771453935695753
1,1,1.0,1,2,1,3,1,1,0.8216929339531568
3,1,1.0,2,2,1,4,0,0,0.4090969015812192
2,1,1.0,2,3,1,5,1,1,0.6593700126117191
1,0,1.0,1,4,1,5,0,0,0.38138765251348267
2,0,1.0,0,0,1,0,0,0,0.22046309659991056
2,1,1.0,1,1,1,2,1,1,0.7885671566495656
3,0,1.0,0,0,1,0,0,0,0.18726341016764686
3,0,1.0,1,0,1,1,0,0,0.22921476400439672
2,1,1.0,0,0,1,0,1,1,0.6869604775792708
3,0,0.0,0,0,1,0,1,0,0.15254087093215377
1,0,1.0,0,2,1,2,1,0,0.4528547239538967
2,1,1.0,0,1,1,1,1,1,0.7981119838328855
1,0,1.0,0,0,1,0,1,0,0.32211091148486565
3,1,1.0,2,1,2,3,1,1,0.6121491824615966
1,0,1.0,0,0,1,0,1,0,0.2895722352629319
2,0,1.0,1,2,1,3,0,0,0.37983703272714064
3,0,0.0,1,0,1,1,0,0,0.23656875465729066
1,0,1.0,0,0,2,0,0,0,0.3358465432049531
1,0,1.0,1,0,2,1,1,0,0.36427185630815856
3,0,0.0,0,0,1,0,0,0,0.16682952443862653
3,0,1.0,0,0,2,0,1,0,0.23334560905556131
1,0,1.0,0,0,1,0,0,0,0.32211091148486565
1,1,0.0,1,0,1,1,1,1,0.7858062091347293
2,1,1.0,0,0,1,0,1,1,0.6869604775792708
3,0,0.0,0,0,3,0,0,0,0.18981246481553937
1,0,1.0,0,0,1,0,1,0,0.28255453837011674
3,0,1.0,0,0,1,0,0,0,0.19199274577957343
1,0,1.0,0,0,1,0,0,0,0.29991092176606843
2,0,1.0,0,0,1,0,0,0,0.20534566831960013
3,0,0.0,0,0,1,0,0,0,0.15516732011792875
3,0,1.0,0,0,1,0,0,0,0.17538855068180098
2,0,0.0,0,0,1,0,0,0,0.2148055801748615
1,0,1.0,0,0,1,0,0,0,0.3015580001468058
3,0,0.0,0,0,3,0,0,0,0.21982680087461734
3,1,1.0,2,1,2,3,1,1,0.5606752473223269
3,0,0.0,0,0,1,0,0,0,0.15418446068578823
3,0,1.0,0,0,1,0,0,0,0.16663914283757827
2,1,1.0,1,2,1,3,1,1,0.828990476483822
2,1,1.0,0,0,2,0,1,1,0.7035960842409579
3,1,1.0,0,0,1,0,0,0,0.48555483935885546
1,0,0.0,0,0,1,0,0,0,0.26106680891787554
2,0,1.0,1,0,1,1,0,0,0.2604521370050517
3,0,1.0,1,0,1,1,0,0,0.2573013697288957
3,0,1.0,0,0,1,0,0,0,0.18726341016764686
3,1,1.0,0,1,1,1,1,1,0.5354126611646612
